tempo,abertura,alto,baixo,fechamento,volume,moeda
2023-06-17,26345.01,26839.99,26181.0,26516.99,27842.2195,BTC/USDT
2023-06-18,26516.99,26700.0,26255.85,26339.97,21538.31022,BTC/USDT
2023-06-19,26339.98,27068.09,26256.61,26844.35,35872.65974,BTC/USDT
2023-06-20,26844.35,28402.74,26652.0,28307.99,69666.95525,BTC/USDT
2023-06-21,28308.0,30800.0,28257.99,29993.89,108926.40412,BTC/USDT
2023-06-22,29993.89,30500.0,29525.61,29884.92,59054.5646,BTC/USDT
2023-06-23,29884.92,31431.94,29800.0,30688.5,73931.89635,BTC/USDT
2023-06-24,30688.51,30800.0,30250.0,30527.43,30513.30135,BTC/USDT
2023-06-25,30527.44,31046.01,30277.49,30462.66,30223.44801,BTC/USDT
2023-06-26,30462.67,30666.0,29930.0,30267.99,45180.41489,BTC/USDT
2023-06-27,30267.99,30994.97,30226.17,30692.44,42699.64157,BTC/USDT
2023-06-28,30692.44,30709.74,29858.8,30077.41,40463.51937,BTC/USDT
2023-06-29,30077.4,30843.98,30049.98,30447.31,36330.62903,BTC/USDT
2023-06-30,30447.31,31282.0,29500.0,30472.0,89419.07618,BTC/USDT
2023-07-01,30471.99,30661.6,30320.57,30585.9,17501.75075,BTC/USDT
2023-07-02,30585.9,30791.0,30155.0,30617.03,23286.41019,BTC/USDT
2023-07-03,30617.02,31380.0,30570.27,31156.2,43761.64311,BTC/USDT
2023-07-04,31156.2,31350.69,30620.0,30766.51,33206.11943,BTC/USDT
2023-07-05,30766.52,30878.07,30200.0,30504.81,33215.67122,BTC/USDT
2023-07-06,30504.8,31500.0,29850.45,29895.43,71319.6261,BTC/USDT
2023-07-07,29895.42,30449.0,29701.02,30344.7,34070.53895,BTC/USDT
2023-07-08,30344.7,30386.81,30044.47,30284.63,13094.59042,BTC/USDT
2023-07-09,30284.63,30445.52,30061.12,30160.71,15388.50196,BTC/USDT
2023-07-10,30160.71,31045.78,29950.0,30411.57,41262.87652,BTC/USDT
2023-07-11,30411.57,30813.63,30300.0,30622.1,28476.83311,BTC/USDT
2023-07-12,30622.1,30983.25,30210.0,30380.0,38108.99669,BTC/USDT
2023-07-13,30380.0,31804.2,30251.0,31454.23,70772.51836,BTC/USDT
2023-07-14,31454.23,31630.0,29900.0,30312.01,60749.48424,BTC/USDT
2023-07-15,30312.0,30390.9,30200.0,30289.52,14118.55329,BTC/USDT
2023-07-16,30289.52,30441.46,30064.29,30231.99,15760.1281,BTC/USDT
2023-07-17,30232.0,30336.96,29659.2,30138.0,30882.76839,BTC/USDT
2023-07-18,30138.01,30239.78,29512.0,29859.13,30003.8601,BTC/USDT
2023-07-19,29859.14,30189.09,29761.96,29909.21,25657.36137,BTC/USDT
2023-07-20,29909.21,30417.46,29570.96,29800.0,37540.68193,BTC/USDT
2023-07-21,29800.0,30061.7,29726.34,29901.72,23881.40865,BTC/USDT
2023-07-22,29901.72,29999.0,29625.1,29794.0,14660.40467,BTC/USDT
2023-07-23,29793.99,30350.0,29730.0,30083.75,18292.78637,BTC/USDT
2023-07-24,30083.75,30099.58,28861.9,29176.5,39628.99691,BTC/USDT
2023-07-25,29176.5,29376.0,29047.65,29228.91,21565.7478,BTC/USDT
2023-07-26,29228.91,29690.0,29096.94,29351.96,33931.63366,BTC/USDT
2023-07-27,29351.95,29567.49,29083.85,29222.78,22476.47626,BTC/USDT
2023-07-28,29222.78,29542.22,29123.12,29314.14,23993.61627,BTC/USDT
2023-07-29,29314.14,29406.92,29256.18,29352.9,10851.36844,BTC/USDT
2023-07-30,29352.9,29449.0,29033.24,29281.09,15706.97441,BTC/USDT
2023-07-31,29281.09,29530.0,29101.8,29232.25,22605.48964,BTC/USDT
2023-08-01,29232.26,29739.25,28585.7,29705.99,44719.65162,BTC/USDT
2023-08-02,29705.99,30047.5,28927.5,29186.01,48181.65141,BTC/USDT
2023-08-03,29186.0,29433.33,28968.0,29193.64,26476.91994,BTC/USDT
2023-08-04,29193.65,29333.08,28807.54,29113.99,23551.95217,BTC/USDT
2023-08-05,29114.0,29152.23,28978.64,29072.13,11645.52018,BTC/USDT
2023-08-06,29072.13,29205.09,28991.88,29088.42,13178.1972,BTC/USDT
2023-08-07,29088.43,29276.78,28701.03,29211.06,30966.87746,BTC/USDT
2023-08-08,29211.06,30244.0,29146.45,29770.42,45700.53392,BTC/USDT
2023-08-09,29770.41,30160.0,29376.67,29581.99,38003.88725,BTC/USDT
2023-08-10,29581.99,29738.0,29320.2,29455.75,23463.45373,BTC/USDT
2023-08-11,29455.76,29564.52,29252.45,29426.03,20637.0443,BTC/USDT
2023-08-12,29426.02,29481.35,29381.56,29430.17,8971.48068,BTC/USDT
2023-08-13,29430.18,29474.65,29272.32,29303.84,11101.70947,BTC/USDT
2023-08-14,29303.85,29695.32,29102.45,29430.93,31443.11532,BTC/USDT
2023-08-15,29430.92,29499.26,29059.6,29200.0,27503.87691,BTC/USDT
2023-08-16,29200.01,29259.85,28723.08,28730.51,32996.69854,BTC/USDT
2023-08-17,28730.51,28783.48,25166.0,26623.41,100271.54033,BTC/USDT
2023-08-18,26623.41,26832.6,25619.0,26054.0,69790.65711,BTC/USDT
2023-08-19,26054.0,26281.0,25801.09,26100.01,26160.75343,BTC/USDT
2023-08-20,26100.01,26299.0,25971.05,26189.99,19056.91209,BTC/USDT
2023-08-21,26190.0,26258.42,25812.0,26126.92,30267.24233,BTC/USDT
2023-08-22,26126.92,26139.42,25300.0,26056.0,34247.06688,BTC/USDT
2023-08-23,26055.99,26819.27,25812.82,26432.72,44023.69978,BTC/USDT
2023-08-24,26432.71,26577.87,25864.0,26180.05,30205.22116,BTC/USDT
2023-08-25,26180.05,26314.05,25777.15,26060.01,27753.33772,BTC/USDT
2023-08-26,26060.0,26125.77,25985.92,26017.37,10022.22322,BTC/USDT
2023-08-27,26017.38,26182.23,25966.11,26101.77,12099.64216,BTC/USDT
2023-08-28,26101.78,26253.99,25864.5,26120.0,22692.62655,BTC/USDT
